PaintingID,Title,HeightInches,WidthInches,ImageBaseName
374,"Bardurex (Black)",40,32,"bardurex(black)"
375,"Bardurex (White)",46,36,"bardurex(white)"
376,"Black Market Penguin",46,38,"blackmarketpenguin"
377,"Chacuterie Blue",20,16,"chacuterieblue"
378,"Chat",12,9,"chat"
379,"Hotel Palacio",56,56,"hotelpalacio"
380,"Journaux",20,16,"journaux"
381,"Mailboxes",56,40,"mailboxes"
382,"Rodeo Jones (3 Piece)",12,27,"rodeojones(3piece)"
383,"Samson the Great",56,40,"samsonthegreat"
384,"The Skulls",3,9,"theskulls"
385,"Travel (After Drinks)",10,15,"travel(afterdrinks)"
386,"Travel (Before Drinks)",10,15,"travel(beforedrinks)"
387,"Travel (Original)",5,12,"travel(original)"
388,"Young Team 2",12,9,"youngteam2"
389,"Yoyo",12,9,"yoyo"
390,"Café 2",,,"cafe2"
391,"Face",,,"face"
392,"Journaux 2",,,"journax2"
393,"Balloon",,,"mfaface4"
394,"MFA Oogie",,,"mfaoogie"
395,"OOGIE MFA",,,"oogiemfa"
396,"Picasso at Lapin Agile",,,"picasso3"
397,"Piss Penguin",,,"PISSpenquin3"
398,"Art Fanatic",,,"umassmfaguy2"
399,"Jazz 2",,,"jazz2"
400,"Nightmare Xmas 3",56,56,"nightmarexmas3"
401,"Nude",56,56,"nude"
402,"Edward Cutouts 4",56,56,"edwardcutouts4"
403,"Edward 2",56,56,"edward2"
404,"Pink Nude 4",56,56,"pinknude4"
405,"12 Faces of Jack 3",56,56,"12facesjack3"
406,"Skull Oogie 5",56,56,"skulloogie5"
407,"Honey Money",56,56,"honeymoneyorig"
408,"Hotel De La Post",56,56,"hoteldelapost"
409,"Unveiling Perfection",56,56,"unveilingperfection"
410,"Student",56,56,"teenfromjapan"
411,"Meghan",32,40,"meghan"
412,"38 Geary",56,56,"38geary"
413,"Digging In The Dirt",56,56,"digginginthedirt"
414,"Champagne Pizza",40,16,"champagnepizza"
415,"Jazz For Portland",40,33,"jazzforportland"
416,"Digging In The Sun",38,53,"digginginthesun"
417,"Popcorn Buddah",30,26,"popcornbuddah"
418,"Perfume",30,26,"perfume"
419,"Perfume Remix",30,26,"perfumeremix"
420,"The Firm",40,30,"thefirm"
421,"Proper Penguin",25,45,"properpenguin"
422,"Café Raos",56,56,"caferaos"
423,"Sampson The Great",46,38,"sampsonthegreat"
424,"Tomato",30,26,"tomato"
425,"Chemical Brothers",40,32,"chemicalbros"
426,"Pop Star Buddah",52,25,"popstarbuddah"
427,"Populist Party Buddah",52,25,"populistpartybuddah"
428,"Porn Party Buddah",20,16,"pornpartybuddah"
429,"9/11",10,6,"9-11"
430,"Religion",10,6,"religion"
431,"Ariel",28,24,"ariel"
432,"Big City",56,40,"bigcity"
433,"Take 5",28,24,"calmjazz"
434,"Chubby Borachos",44,38,"chubbyborachos"
435,"Groove Corporation",28,24,"chubbyjazzfans"
436,"Chubby $",24,28,"chubbymoney"
437,"Figures in Red",56,80,"cutelittlebears"
438,"Ego Trip",56,30,"egotrip"
439,"Falling Stones",56,30,"fallingstones"
440,"Farewell to Arms",32,26,"farewelltoarms"
441,"Pelican",28,24,"greenchubbyhill"
442,"Karma",56,30,"karma"
443,"Loch Lomond",56,56,"lochlomond"
444,"No Worries",26,22,"noworries"
445,"Soap",56,30,"rachel"
446,"Sahara Club",36,24,"saharaclub"
447,"Nice",56,40,"storesofnice"
448,"Toucan",26,22,"toucan"
449,"Yellow Nude",28,22,"yellowblue"
450,"Paradiso",54,54,"paradiso"
451,"Sahara Club",54,54,"saharaclub2"
452,"Take 5",54,54,"take5"
453,"Paris 5:13 am",54,54,"paris513am"
454,"Lemon Paris",54,54,"lemonparis"
455,"Shmooze",40,33,"shmooze"
456,"Shmooze Control",40,33,"shmoozecontrol"
457,"Honey Peeps",54,54,"honeypeeps"
458,"Honey Power",56,56,"honeypower"
459,"The Reporter",56,36,"tintin"
460,"My Favorite Cutie Bat",12,20,"myfavoritecutiebat"
461,"Yummy Honey",24,57,"yummyhoney"
462,"4 Good Men of Snow",12,27,"4goodmenofsnow"
463,"Easter Egg Rodeo",12,20,"eastereggrodeo"
464,"Easter Rodeo",20,12,"easterrodeo"
465,"Swiss Cheese Dream",16,12,"swisscheesedream"
466,"Chillin' In January",48,14,"chillininjanuary"
467,"4 Cuties",24,18,"4cuties"
468,"Cat Likes Soy Oat Flakes",12,20,"catlikessoyoatflakes"
469,"Glitter Ghosts",9,12,"glitterghosts"
470,"Vitamin Heads",9,12,"vitaminheads"
471,"Usako",6,4,"girlbunny"
472,"Silver City Shave",24,19,"silvercityshave"
473,"Bowling for Shmoos",24,19,"bowling4shmoos"
474,"Gold Hand Indian Land",24,19,"goldhandindianland"
475,"Pecos Pete",24,19,"pecospete"
476,"Land for Sale (Yellow)",24,19,"landforsale(yellow)"
477,"I've Struck It Rich",24,19,"ivestruckitrichold"
478,"Land for Sale (Green)",24,19,"landforsale(green)"
479,"Lodge at the Lake",24,19,"lodgeatthelake"
480,"Honey Money",24,19,"honeymoney2"
481,"Glitter Mice",12,20,"glittermice"
482,"Mice with Presents",12,20,"micewithpresents"
483,"Magic Rock Ghosts",9,9,"magicrockghosts"
484,"Shmoo Love",9,14,"shmoolove"
485,"Vin de Paris",24,19,"vindeparis"
486,"Flanders Angel",24,19,"flandersangel"
487,"Cutie Bat",12,20,"cutiebat"
488,"Ding Dong",14,12,"dingdong"
489,"Big Smile Snowman",14,12,"bigsmilesnowman"
490,"Jewels",9,12,"jewels"
